Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(USDT),RSI
2022-11-25,16599.55,16666.0,16342.81,16522.14,-0.0046,0.0195,16387.62,17814.42,19369.17,3004000000.0,41.96017118937896
2022-11-26,16521.35,16701.99,16385.0,16458.57,-0.0038,0.0192,16353.03,17653.42,19324.97,3012000000.0,44.501202390470446
2022-11-27,16457.61,16600.0,16401.0,16428.78,-0.0018,0.0121,16374.25,17504.49,19277.38,2679000000.0,51.79091886646944
2022-11-28,16428.77,16487.04,15995.27,16212.91,-0.0131,0.0299,16435.91,17344.7,19223.82,4096000000.0,42.43838928671071
2022-11-29,16212.18,16548.71,16100.0,16442.53,0.0141999999999999,0.0277,16466.71,17156.46,19173.74,4073000000.000001,41.31434032676465
2022-11-30,16442.91,17249.0,16428.3,17163.64,0.0438999999999999,0.0499,16546.79,16991.03,19129.65,5124000000.0,58.02676871598624
2022-12-01,17165.53,17324.0,16855.01,16977.37,-0.0109,0.0273,16600.85,16833.9,19085.3,3973000000.0,54.34621382987486
2022-12-02,16978.0,17105.73,16787.85,17092.74,0.0068,0.0187,16682.36,16693.96,19040.18,3432000000.0,55.79622991657828
2022-12-03,17092.13,17188.98,16858.74,16885.2,-0.0121,0.0192999999999999,16743.31,16627.48,19006.29,2623000000.0,52.56897185435996
2022-12-04,16885.2,17202.84,16878.25,17105.7,0.0131,0.0192,16840.01,16674.8,18976.67,3040000000.0,62.17015542391423
2022-12-05,17106.65,17424.25,16867.0,16966.35,-0.0081,0.0326,16947.65,16649.41,18950.52,4015000000.0,69.54396427181383
2022-12-06,16966.35,17107.01,16906.37,17088.96,0.0072,0.0118,17039.99,16650.15,18918.23,3718000000.0,65.91182616271766
2022-12-07,17088.96,17142.21,16678.83,16836.64,-0.0148,0.0271,16993.28,16651.14,18888.18,3723000000.0,54.51721349844671
2022-12-08,16836.64,17299.0,16733.49,17224.1,0.023,0.0336,17028.53,16686.91,18859.63,4009000000.000001,60.53082855208051
2022-12-09,17224.1,17360.0,17058.21,17128.56,-0.0055,0.0175,17033.64,16707.27,18829.3,4098000000.0,60.151259491382454
