Date,Open,High,Low,Close,Change,Amplitude,MA(7),MA(25),MA(99),Vol(BTC),Vol(USDT)
2021-05-04,57169.39,57200.0,53046.69,53200.01,-0.0694,0.0726,55834.78,56578.03,51817.62,85325.0,4705000000.0
2021-05-05,53205.05,58069.82,52900.0,57436.11,0.0796,0.09720000000000001,56204.77,56484.71,52069.83,77264.0,4328000000.0
2021-05-06,57436.11,58360.0,55200.0,56393.68,-0.0181,0.055,56610.29,56340.36,52332.73,70182.0,3992000000.0
2021-05-07,56393.68,58650.0,55241.63,57314.75,0.0163,0.0604,56556.07,56238.55,52574.65,74543.0,4239000000.0
2021-05-08,57315.49,59500.0,56900.0,58862.05,0.027000000000000003,0.0454,56707.74,56050.04,52823.23,69710.0,4080000000.0
2021-05-09,58866.53,59300.0,56235.66,58240.84,-0.0106,0.0521,56945.26,55861.29,53065.43,69806.0,4043999999.9999995
2021-05-10,58240.83,59500.0,53400.0,55816.14,-0.0416,0.1047,56751.94,55567.53,53294.96,89586.0,5132000000.0
2021-05-11,55816.14,56862.43,54370.0,56670.02,0.015300000000000001,0.0447,57247.66,55380.94,53528.74,64330.0,3583000000.0
2021-05-12,56670.02,58000.01,48600.0,49631.32,-0.1242,0.1659,56132.69,54965.93,53671.82,99843.0,5476000000.0
2021-05-13,49537.15,51367.19,46000.0,49670.97,0.0008,0.1081,55172.3,54706.77,53793.56,147332.0,7304000000.0
2021-05-14,49671.92,51483.0,48799.75,49841.45,0.0034000000000000002,0.054000000000000006,54104.68,54475.1,53923.91,80082.0,4016000000.0
2021-05-15,49844.16,50700.0,46555.0,46762.99,-0.061799999999999994,0.0832,52376.25,54088.62,54009.49,89437.0,4351000000.0
2021-05-16,46762.99,49795.89,43825.39,46431.5,-0.0070999999999999995,0.1277,50689.2,53794.37,54082.67,114270.0,5367000000.0
2021-05-17,46426.83,46686.0,42001.0,43538.04,-0.0623,0.1009,48935.18,53468.26,54130.57,166657.0,7347000000.0
2021-05-18,44638.305,45135.45,36000.5,40114.065,-0.10305,0.20895000000000002,47023.65,53035.595,54063.625,260502.0,10412500000.0
2021-05-19,42849.78,43584.9,30000.0,36690.09,-0.1438,0.317,45112.12,52602.93,53996.68,354347.0,13478000000.0
2021-05-20,36671.23,42451.67,34850.0,40526.64,0.10460000000000001,0.2072,43805.78,52261.33,53953.44,203018.0,8020000000.0
2021-05-21,40525.39,42200.0,33488.0,37252.01,-0.0808,0.215,42007.29,51591.35,53845.18,202101.0,7713000000.0
2021-05-22,37263.35,38829.0,35200.62,37449.73,0.0053,0.0974,40676.83,50888.86,53745.81,126542.0,4731000000.0
2021-05-23,37458.51,38270.64,31111.01,34655.25,-0.0746,0.1912,38994.51,50081.22,53619.56,217136.0,7431000000.0
2021-05-24,34681.44,39920.0,34031.0,38796.29,0.1195,0.1699,38317.11,49490.88,53520.76,161631.0,5997000000.0
2021-05-25,38810.99,39791.77,36419.62,38324.72,-0.012199999999999999,0.08689999999999999,37670.68,48716.09,53423.92,111996.0,4253999999.9999995
2021-05-26,38324.72,40841.0,37800.44,39241.91,0.0239,0.0793,38035.22,47973.76,53324.01,104781.0,4114000000.0
2021-05-27,39241.92,40411.14,37134.27,38529.98,-0.0181,0.08349999999999999,37749.98,47251.83,53186.74,86547.0,3361000000.0
2021-05-28,38529.99,38877.83,34684.0,35663.49,-0.07440000000000001,0.10880000000000001,37523.05,46391.59,53026.24,135378.0,4926000000.0
2021-05-29,35661.79,37338.58,33632.76,34605.15,-0.0297,0.1039,37116.68,45647.8,52811.08,112663.0,3950000000.0
2021-05-30,34605.15,36488.0,33379.0,35641.27,0.029900000000000003,0.0898,37257.54,44776.0,52607.04,73535.0,2602000000.0
2021-05-31,35641.26,37499.0,34153.84,37253.81,0.0452,0.09390000000000001,37037.19,44010.41,52403.46,94161.0,3406000000.0
